DATE,ORPOP
1/1/1900,415
1/1/1901,434
1/1/1902,454
1/1/1903,479
1/1/1904,504
1/1/1905,530
1/1/1906,555
1/1/1907,580
1/1/1908,610
1/1/1909,643
1/1/1910,677
1/1/1911,692
1/1/1912,706
1/1/1913,722
1/1/1914,736
1/1/1915,745
1/1/1916,756
1/1/1917,763
1/1/1918,763
1/1/1919,774
1/1/1920,788
1/1/1921,798
1/1/1922,814
1/1/1923,833
1/1/1924,856
1/1/1925,883
1/1/1926,905
1/1/1927,925
1/1/1928,936
1/1/1929,947
1/1/1930,956
1/1/1931,966
1/1/1932,972
1/1/1933,978
1/1/1934,985
1/1/1935,1001
1/1/1936,1025
1/1/1937,1048
1/1/1938,1067
1/1/1939,1081
1/1/1940,1086
1/1/1941,1071
1/1/1942,1107
1/1/1943,1221
1/1/1944,1233
1/1/1945,1250
1/1/1946,1338
1/1/1947,1361
1/1/1948,1405
1/1/1949,1431
1/1/1950,1532
1/1/1951,1556
1/1/1952,1582
1/1/1953,1601
1/1/1954,1626
1/1/1955,1659
1/1/1956,1698
1/1/1957,1712
1/1/1958,1718
1/1/1959,1746
1/1/1960,1772
1/1/1961,1787
1/1/1962,1818
1/1/1963,1853
1/1/1964,1888
1/1/1965,1937
1/1/1966,1969
1/1/1967,1979
1/1/1968,2004
1/1/1969,2062
1/1/1970,2091.533
1/1/1971,2151.022
1/1/1972,2197.297
1/1/1973,2241.932
1/1/1974,2285.013
1/1/1975,2329.661
1/1/1976,2378.262
1/1/1977,2446.673
1/1/1978,2518.298
1/1/1979,2588.012
1/1/1980,2641.218
1/1/1981,2667.982
1/1/1982,2664.922
1/1/1983,2653.066
1/1/1984,2666.588
1/1/1985,2672.652
1/1/1986,2683.528
1/1/1987,2700.991
1/1/1988,2741.297
1/1/1989,2790.575
1/1/1990,2858.547
1/1/1991,2918.745
1/1/1992,2973.934
1/1/1993,3034.49
1/1/1994,3087.142
1/1/1995,3141.421
1/1/1996,3195.087
1/1/1997,3243.254
1/1/1998,3282.055
1/1/1999,3316.154
1/1/2000,3429.708
1/1/2001,3467.937
1/1/2002,3513.424
1/1/2003,3547.376
1/1/2004,3569.463
1/1/2005,3613.202
1/1/2006,3670.883
1/1/2007,3722.417
1/1/2008,3768.748
1/1/2009,3808.6
1/1/2010,3838.048
1/1/2011,3868.031
1/1/2012,3899.116
1/1/2013,3925.751
1/1/2014,3968.371
1/1/2015,4024.634
1/1/2016,4093.465
1/1/2017,4142.776
