Industry,All industry total,  Private industries,"      Agriculture, forestry, fishing, and hunting",      Mining,      Utilities,      Construction,      Manufacturing,          Durable goods manufacturing,          Nondurable goods manufacturing,      Wholesale trade,      Retail trade,      Transportation and warehousing,      Information,      Finance and insurance,      Real estate and rental and leasing,"      Professional, scientific, and technical services",      Management of companies and enterprises,      Administrative and waste management services,      Educational services,      Health care and social assistance,"      Arts, entertainment, and recreation",      Accommodation and food services,"      Other services, except government",  Government
2005:Q1,145585,126710,3400,255,1579,6800,29676,25106,4571,9488,8432,4219,4987,6408,19173,6422,2883,3858,1019,9991,932,3643,3547,18874
2005:Q2,146010,127631,3389,269,1724,6915,28524,23961,4563,9593,8520,4378,5159,6636,19991,6452,2902,3926,1020,10036,960,3670,3566,18379
2005:Q3,147654,129354,3421,276,1809,7310,29232,24546,4686,9928,8645,4499,5097,6853,19237,6504,2943,3997,1034,10301,954,3715,3598,18300
2005:Q4,150891,132256,3568,324,1619,7496,30547,25746,4801,9993,8768,4572,4967,6817,20203,6647,2721,4020,1071,10455,987,3809,3672,18634
2006:Q1,159942,141162,3770,300,1716,8076,35380,30406,4974,10171,9148,4708,5209,6848,20818,6736,3201,4200,1108,11130,982,3907,3754,18781
2006:Q2,161843,142766,3706,314,1735,8221,36066,30979,5087,10250,9071,4520,5156,6976,21225,6884,3100,4193,1125,11416,1036,3959,3814,19077
2006:Q3,165155,145964,3920,314,1938,8213,37170,32053,5117,10532,9187,4555,5486,7124,21717,6948,3206,4260,1137,11411,1032,3989,3825,19191
2006:Q4,167315,147938,4191,347,2347,8435,36611,31662,4949,10856,9170,4599,5436,7153,22195,7193,3287,4395,1151,11640,1019,4057,3856,19376
2007:Q1,165633,146178,3448,390,1729,8593,35034,30084,4950,11094,9247,4521,5444,7091,22486,7210,3491,4378,1144,11738,1131,4149,3863,19455
2007:Q2,168514,148798,3573,432,1786,8795,35928,30907,5020,11017,9241,4523,5908,7362,22818,7255,3475,4495,1141,11868,1124,4201,3858,19716
2007:Q3,173114,153134,3676,405,2013,8881,37238,32377,4861,11102,9325,4603,6170,7390,24210,7555,3451,4586,1146,12065,1197,4239,3881,19980
2007:Q4,176501,156254,3971,366,1798,8779,39876,35081,4795,10842,9182,4719,6184,7199,24431,7803,3657,4677,1197,12321,1159,4247,3848,20246
2008:Q1,177725,157115,3442,313,2409,8470,41516,37132,4384,11229,8914,4553,6218,6928,24325,8003,3545,4619,1217,12510,985,4137,3783,20609
2008:Q2,181020,160136,3454,332,2133,8216,43613,39111,4502,11459,8911,4687,6282,6784,24754,8147,3644,4661,1243,12841,1047,4149,3779,20884
2008:Q3,183579,162316,3537,318,2031,7957,46175,41508,4667,11189,8935,4697,6399,6215,24766,8393,3687,4676,1288,13160,964,4165,3763,21263
2008:Q4,181414,159669,3208,271,2076,7655,46169,41473,4696,10984,8753,4700,6040,5351,24428,8264,3528,4493,1305,13581,1014,4118,3732,21745
2009:Q1,181501,159422,3345,286,2222,7176,46531,41436,5095,10430,8595,4354,6092,6568,25130,8055,3313,4451,1349,12827,991,4005,3703,22079
2009:Q2,179686,157374,3091,308,2185,6588,46022,40604,5417,10205,8619,4203,5928,6974,24669,7840,3427,4261,1363,13007,994,4055,3635,22312
2009:Q3,181071,158695,2939,331,2207,6391,48063,42298,5765,10066,8590,4200,5839,6919,24738,7647,3309,4224,1380,13162,967,4090,3632,22377
2009:Q4,181831,159972,2969,325,2200,6063,49474,43769,5705,10386,8804,4284,5793,6885,24237,7642,3365,4307,1376,13236,951,4065,3610,21858
